8 1702044601 659,000000 1 659,000000 659,000000 659,000000
8 1702044606 28990,200000 6 28990,200000 28990,200000 28990,200000
8 1702044606 24803,200000 3 24803,200000 24803,200000 24803,200000
8 1702044611 4844,600000 4 4844,600000 4844,600000 4844,600000
8 1702044611 24803,400000 3 24803,400000 24803,400000 24803,400000
8 1702044616 4842,800000 4 4842,800000 4842,800000 4842,800000
8 1702044616 59008,800000 13 59008,800000 59008,800000 59008,800000
8 1702044621 59589,400000 15 59589,400000 59589,400000 59589,400000
8 1702044626 30009,400000 7 30009,400000 30009,400000 30009,400000
8 1702044626 29292,200000 7 29292,200000 29292,200000 29292,200000
8 1702044631 59264,400000 14 59264,400000 59264,400000 59264,400000
8 1702044636 59293,800000 14 59293,800000 59293,800000 59293,800000
8 1702044641 29648,000000 7 29648,000000 29648,000000 29648,000000
8 1702044641 29648,000000 7 29648,000000 29648,000000 29648,000000
8 1702044646 59005,800000 13 59005,800000 59005,800000 59005,800000
8 1702044646 295,600000 1 295,600000 295,600000 295,600000
8 1702044651 659,000000 1 659,000000 659,000000 659,000000
8 1702044651 58608,200000 13 58608,200000 58608,200000 58608,200000
8 1702044656 59295,800000 14 59295,800000 59295,800000 59295,800000
8 1702044661 29647,600000 7 29647,600000 29647,600000 29647,600000
8 1702044661 29648,800000 7 29648,800000 29648,800000 29648,800000
8 1702044666 59293,400000 14 59293,400000 59293,400000 59293,400000
8 1702044671 54452,600000 10 54452,600000 54452,600000 54452,600000
8 1702044671 4842,800000 4 4842,800000 4842,800000 4842,800000
8 1702044676 175477,600000 18 175477,600000 175477,600000 175477,600000
8 1702044681 29648,000000 7 29648,000000 29648,000000 29648,000000
8 1702044681 29647,800000 7 29647,800000 29647,800000 29647,800000
8 1702044686 659,000000 1 659,000000 659,000000 659,000000
8 1702044686 659,000000 1 659,000000 659,000000 659,000000
8 1702044691 16719,000000 4 16719,000000 16719,000000 16719,000000
8 1702044691 4507,000000 2 4507,000000 4507,000000 4507,000000
8 1702044696 18039,800000 1 18039,800000 18039,800000 18039,800000
8 1702044696 18050,400000 2 18050,400000 18050,400000 18050,400000
8 1702044701 107952,000000 4 107952,000000 107952,000000 107952,000000
8 1702044701 261,000000 1 261,000000 261,000000 261,000000
8 1702044706 18698,600000 2 18698,600000 18698,600000 18698,600000
8 1702044711 10611,600000 3 10611,600000 10611,600000 10611,600000
8 1702044711 663,600000 2 663,600000 663,600000 663,600000
8 1702044716 77982,000000 3 77982,000000 77982,000000 77982,000000
8 1702044721 4771,200000 4 4771,200000 4771,200000 4771,200000
8 1702044721 6765,000000 2 6765,000000 6765,000000 6765,000000
8 1702044726 22586,600000 4 22586,600000 22586,600000 22586,600000
8 1702044731 659,000000 1 659,000000 659,000000 659,000000
8 1702044741 8,800000 1 8,800000 8,800000 8,800000
8 1702044746 6331,800000 2 6331,800000 6331,800000 6331,800000
8 1702044746 4282,600000 1 4282,600000 4282,600000 4282,600000
8 1702044766 53839,600000 1 53839,600000 53839,600000 53839,600000
8 1702044776 54107,000000 2 54107,000000 54107,000000 54107,000000
8 1702044776 6548,600000 4 6548,600000 6548,600000 6548,600000
8 1702044781 11526,000000 4 11526,000000 11526,000000 11526,000000
8 1702044786 5036,200000 2 5036,200000 5036,200000 5036,200000
8 1702044786 142,000000 1 142,000000 142,000000 142,000000
8 1702044791 6079,800000 5 6079,800000 6079,800000 6079,800000
8 1702044791 27539,000000 3 27539,000000 27539,000000 27539,000000
8 1702044796 18243,600000 5 18243,600000 18243,600000 18243,600000
8 1702044801 46264,600000 2 46264,600000 46264,600000 46264,600000
8 1702044806 44264,200000 3 44264,200000 44264,200000 44264,200000
8 1702044806 25696,800000 2 25696,800000 25696,800000 25696,800000
8 1702044811 10944,200000 2 10944,200000 10944,200000 10944,200000
8 1702044816 99341,600000 1 99341,600000 99341,600000 99341,600000
8 1702044841 35681,800000 7 35681,800000 35681,800000 35681,800000
