6 1690881231 5,000000 1 5,000000 5,000000 5,000000
7 1690881231 1,000000 1 1,000000 1,000000 1,000000
8 1690881231 0,000000 1 0,000000 0,000000 0,000000
9 1690881231 2,000000 1 2,000000 2,000000 2,000000
6 1690881232 8,000000 1 8,000000 8,000000 8,000000
7 1690881232 0,000000 1 0,000000 0,000000 0,000000
8 1690881232 0,000000 1 0,000000 0,000000 0,000000
9 1690881232 2,000000 1 2,000000 2,000000 2,000000
6 1690881234 10,000000 1 10,000000 10,000000 10,000000
7 1690881234 0,000000 1 0,000000 0,000000 0,000000
8 1690881234 0,000000 1 0,000000 0,000000 0,000000
9 1690881234 2,000000 1 2,000000 2,000000 2,000000
6 1690881235 10,000000 1 10,000000 10,000000 10,000000
7 1690881235 0,000000 1 0,000000 0,000000 0,000000
8 1690881235 0,000000 1 0,000000 0,000000 0,000000
9 1690881235 2,000000 1 2,000000 2,000000 2,000000
6 1690881236 10,000000 1 10,000000 10,000000 10,000000
7 1690881236 0,000000 1 0,000000 0,000000 0,000000
8 1690881236 0,000000 1 0,000000 0,000000 0,000000
9 1690881236 2,000000 1 2,000000 2,000000 2,000000
6 1690881237 10,000000 1 10,000000 10,000000 10,000000
7 1690881237 0,000000 1 0,000000 0,000000 0,000000
8 1690881237 0,000000 1 0,000000 0,000000 0,000000
9 1690881237 2,000000 1 2,000000 2,000000 2,000000
6 1690881238 10,000000 1 10,000000 10,000000 10,000000
7 1690881238 0,000000 1 0,000000 0,000000 0,000000
8 1690881238 0,000000 1 0,000000 0,000000 0,000000
9 1690881238 2,000000 1 2,000000 2,000000 2,000000
6 1690881239 10,000000 1 10,000000 10,000000 10,000000
7 1690881239 0,000000 1 0,000000 0,000000 0,000000
8 1690881239 0,000000 1 0,000000 0,000000 0,000000
9 1690881239 2,000000 1 2,000000 2,000000 2,000000
6 1690881240 10,000000 1 10,000000 10,000000 10,000000
7 1690881240 0,000000 1 0,000000 0,000000 0,000000
8 1690881240 0,000000 1 0,000000 0,000000 0,000000
9 1690881240 2,000000 1 2,000000 2,000000 2,000000
6 1690881241 10,000000 1 10,000000 10,000000 10,000000
7 1690881241 0,000000 1 0,000000 0,000000 0,000000
8 1690881241 0,000000 1 0,000000 0,000000 0,000000
9 1690881241 2,000000 1 2,000000 2,000000 2,000000
6 1690881242 10,000000 1 10,000000 10,000000 10,000000
7 1690881242 0,000000 1 0,000000 0,000000 0,000000
8 1690881242 0,000000 1 0,000000 0,000000 0,000000
9 1690881242 2,000000 1 2,000000 2,000000 2,000000
6 1690881243 10,000000 1 10,000000 10,000000 10,000000
7 1690881243 0,000000 1 0,000000 0,000000 0,000000
8 1690881243 0,000000 1 0,000000 0,000000 0,000000
9 1690881243 2,000000 1 2,000000 2,000000 2,000000
6 1690881244 10,000000 1 10,000000 10,000000 10,000000
7 1690881244 0,000000 1 0,000000 0,000000 0,000000
8 1690881244 0,000000 1 0,000000 0,000000 0,000000
9 1690881244 2,000000 1 2,000000 2,000000 2,000000
6 1690881245 10,000000 1 10,000000 10,000000 10,000000
7 1690881245 0,000000 1 0,000000 0,000000 0,000000
8 1690881245 0,000000 1 0,000000 0,000000 0,000000
9 1690881245 2,000000 1 2,000000 2,000000 2,000000
6 1690881246 10,000000 1 10,000000 10,000000 10,000000
7 1690881246 0,000000 1 0,000000 0,000000 0,000000
8 1690881246 0,000000 1 0,000000 0,000000 0,000000
9 1690881246 2,000000 1 2,000000 2,000000 2,000000
6 1690881247 10,000000 1 10,000000 10,000000 10,000000
7 1690881247 0,000000 1 0,000000 0,000000 0,000000
8 1690881247 0,000000 1 0,000000 0,000000 0,000000
9 1690881247 2,000000 1 2,000000 2,000000 2,000000
6 1690881248 10,000000 1 10,000000 10,000000 10,000000
7 1690881248 0,000000 1 0,000000 0,000000 0,000000
8 1690881248 0,000000 1 0,000000 0,000000 0,000000
9 1690881248 2,000000 1 2,000000 2,000000 2,000000
6 1690881249 10,000000 1 10,000000 10,000000 10,000000
7 1690881249 0,000000 1 0,000000 0,000000 0,000000
8 1690881249 0,000000 1 0,000000 0,000000 0,000000
9 1690881249 2,000000 1 2,000000 2,000000 2,000000
6 1690881250 10,000000 1 10,000000 10,000000 10,000000
7 1690881250 0,000000 1 0,000000 0,000000 0,000000
8 1690881250 0,000000 1 0,000000 0,000000 0,000000
9 1690881250 2,000000 1 2,000000 2,000000 2,000000
6 1690881251 10,000000 1 10,000000 10,000000 10,000000
7 1690881251 0,000000 1 0,000000 0,000000 0,000000
8 1690881251 0,000000 1 0,000000 0,000000 0,000000
9 1690881251 2,000000 1 2,000000 2,000000 2,000000
6 1690881252 10,000000 1 10,000000 10,000000 10,000000
7 1690881252 0,000000 1 0,000000 0,000000 0,000000
8 1690881252 0,000000 1 0,000000 0,000000 0,000000
9 1690881252 2,000000 1 2,000000 2,000000 2,000000
6 1690881253 10,000000 1 10,000000 10,000000 10,000000
7 1690881253 0,000000 1 0,000000 0,000000 0,000000
8 1690881253 0,000000 1 0,000000 0,000000 0,000000
9 1690881253 2,000000 1 2,000000 2,000000 2,000000
6 1690881254 10,000000 1 10,000000 10,000000 10,000000
7 1690881254 0,000000 1 0,000000 0,000000 0,000000
8 1690881254 0,000000 1 0,000000 0,000000 0,000000
9 1690881254 2,000000 1 2,000000 2,000000 2,000000
6 1690881255 10,000000 1 10,000000 10,000000 10,000000
7 1690881255 0,000000 1 0,000000 0,000000 0,000000
8 1690881255 0,000000 1 0,000000 0,000000 0,000000
9 1690881255 2,000000 1 2,000000 2,000000 2,000000
6 1690881256 10,000000 1 10,000000 10,000000 10,000000
7 1690881256 0,000000 1 0,000000 0,000000 0,000000
8 1690881256 0,000000 1 0,000000 0,000000 0,000000
9 1690881256 2,000000 1 2,000000 2,000000 2,000000
6 1690881257 10,000000 1 10,000000 10,000000 10,000000
7 1690881257 0,000000 1 0,000000 0,000000 0,000000
