11 1690881231 7721,200000 -1 7721,200000 7721,200000 7721,200000
11 1690881231 2,000000 -1 2,000000 2,000000 2,000000
11 1690881236 8170,800000 -1 8170,800000 8170,800000 8170,800000
11 1690881241 4952,800000 -1 4952,800000 4952,800000 4952,800000
11 1690881246 5562,400000 -1 5562,400000 5562,400000 5562,400000
11 1690881251 5358,400000 -1 5358,400000 5358,400000 5358,400000
11 1690881256 5217,200000 -1 5217,200000 5217,200000 5217,200000
11 1690881261 4966,800000 -1 4966,800000 4966,800000 4966,800000
11 1690881266 5190,600000 -1 5190,600000 5190,600000 5190,600000
11 1690881271 4910,800000 -1 4910,800000 4910,800000 4910,800000
11 1690881276 3127,000000 -1 3127,000000 3127,000000 3127,000000
11 1690881306 10,000000 -1 10,000000 10,000000 10,000000
11 1690881301 4500,400000 -1 4500,400000 4500,400000 4500,400000
11 1690881306 1263,000000 -1 1263,000000 1263,000000 1263,000000
